Question,Answer,Keywords
ما هي ساعات العمل الرسمية؟ / What are the official working hours?,"من الساعة 10:00 صباحاً حتى 6:00 مساءً مع مرونة ساعة واحدة بموافقة المدير المباشر.\n\nOfficial hours are 10:00 AM to 6:00 PM with 1 hour of flexibility subject to direct manager approval.","ساعات,working hours,hours,دوام,وقت,time,schedule"
كيف أطلب إجازة؟ / How do I request leave?,"أرسل طلباً عبر البريد الإلكتروني للادارة وشؤون الموظفين قبل موعد الإجازة بنفس عدد أيامها مع إشعار مديرك المباشر.\n\n- الادارة: a.alaa@prt.iq و a.ali@prt.iq\n- شؤون الموظفين: aya.mohammed@prt.iq\n\nSubmit by email to management and HR the same number of days in advance as the leave duration. CC your direct manager.","إجازة,leave,request,طلب,vacation,holiday,annual"
هل يمكنني العمل من المنزل؟ / Can I work from home?,"نعم، يومين في الشهر بشرط التنسيق المسبق مع مديرك المباشر ثم أرسل بريداً إلكترونياً اليوم السابق على الأقل.\n\nYes, up to 2 days per month. Coordinate with your manager first and send an email the day before to:\n- a.alaa@prt.iq و a.ali@prt.iq\n- aya.mohammed@prt.iq","wfh,work from home,منزل,بيت,remote,عمل عن بعد"
متى يُصرف الراتب؟ / When is salary paid?,"من يوم 25 من نفس الشهر إلى يوم 5 من الشهر الذي يليه.\n\nSalary is paid between the 25th of the current month and the 5th of the following month.","راتب,salary,pay,payroll,payment,متى,when,مرتب"
كم مرة يتم إجراء تقييمات الأداء؟ / How often are performance reviews?,"على مدار السنة عبر اجتماعات فريق العمل ومقابلات فردية.\n\nPerformance reviews are conducted throughout the year via team meetings and individual one-on-ones.","تقييم,performance,review,evaluation,appraisal"
ما هي العطل التي تلتزم بها الشركة؟ / What public holidays does the company observe?,"رأس السنة الميلادية، عيد الجيش، المولد النبوي، نوروز، عيد العمال، يوم الغدير، عيد الفطر، عيد الأضحى، رأس السنة الهجرية، عاشوراء، اليوم الوطني، عيد الميلاد.\n\nNew Year's Day, Army Day, Prophet's Birthday, Nowruz, Labour Day, Al-Ghadeer, Eid Al-Fitr, Eid Al-Adha, Islamic New Year, Ashura, National Day, Christmas.","عطل,holidays,public holidays,عطلة,إجازة رسمية,official"
ما مدة فترة التجربة؟ / What is the probation period?,"ثلاثة أشهر يُقيَّم خلالها الأداء وقد يُنهى العقد خلالها.\n\n3 months. Performance is evaluated during this period and the contract may be terminated within it.","تجربة,probation,trial,فترة,months,أشهر"
ما هو الزي الرسمي في الشركة؟ / What is the dress code?,"ملابس عمل مريحة وأنيقة للعمل اليومي. قد يُطلب ارتداء ملابس رسمية لاجتماعات العملاء أو العروض التقديمية أو الفعاليات.\n\nComfortable and neat work attire daily. Formal dress may be required for client meetings, presentations, or events.","زي,dress code,ملابس,clothes,attire,uniform,formal"
كيف أتواصل مع شؤون الموظفين؟ / How do I contact HR?,"البريد الإلكتروني: aya.mohammed@prt.iq\nرقم الهاتف: 07703855388\n\nEmail: aya.mohammed@prt.iq\nPhone: 07703855388","hr,شؤون الموظفين,contact,تواصل,human resources,aya"
ما هو الإجراء عند تقديم الاستقالة؟ / What is the resignation procedure?,"تقديم إشعار كتابي قبل 30 يوماً وتسليم جميع ممتلكات الشركة قبل آخر يوم عمل. عدم الالتزام قد يؤدي إلى خصومات من الراتب النهائي.\n\nSubmit written notice 30 days before resignation and return all company property before the last working day. Failure to do so may result in deductions from final salary.","استقالة,resignation,quit,leaving,notice,إشعار,30 day"
هل تترحل الإجازات غير المستخدمة؟ / Do unused leave days carry over?,"نعم، تترحل للسنة المقبلة بحد أقصى 31 يوماً وبنصف الرصيد فقط. مثلاً: 10 أيام غير مستخدمة = 5 أيام تترحل.\n\nYes, unused days carry over to the next year up to a maximum of 31 days, but only at 50% of the remaining balance. Example: 10 unused days = 5 days carried over.","ترحيل,carry over,unused,rollover,إجازة,leave balance,رصيد"
